iter	MultiClass
0	0.9407217916
1	0.8364475574
2	0.7619152941
3	0.7058726609
4	0.6624627077
5	0.6281923738
6	0.6002917276
7	0.5781384007
8	0.5598199171
9	0.5450701765
10	0.5332265125
11	0.5224177042
12	0.513812806
13	0.5059996998
14	0.4995701236
15	0.4943849331
16	0.4895192544
17	0.4859249225
18	0.4819991138
19	0.4786927061
20	0.4761911082
21	0.4736148491
22	0.4712151606
23	0.4689073948
24	0.4673240024
25	0.465811283
26	0.463923311
27	0.4624131441
28	0.4611601755
29	0.4598076586
30	0.4588927395
31	0.4576989256
32	0.4567942165
33	0.4557003338
34	0.4547108492
35	0.4538444279
36	0.4530011708
37	0.4523468322
38	0.4515919242
39	0.4507588452
40	0.4501197898
41	0.4492607709
42	0.4486985144
43	0.4481071273
44	0.4474695395
45	0.4470291021
46	0.4462723754
47	0.4457203928
48	0.4453497349
49	0.44478215
50	0.4442124274
51	0.4438405251
52	0.4432954982
53	0.4426763843
54	0.4421879595
55	0.4417856184
56	0.4414384118
57	0.4408236691
58	0.4403198972
59	0.440008394
60	0.4396033089
61	0.4391866099
62	0.4386925696
63	0.438220449
64	0.4378256697
65	0.4373923793
66	0.4371032426
67	0.4366957965
68	0.4363403899
69	0.4358767564
70	0.4354741601
71	0.4351929042
72	0.4347561679
73	0.4345669942
74	0.4342471634
75	0.4336761964
76	0.4333455174
77	0.4332359504
78	0.4328143378
79	0.432399968
80	0.432143312
81	0.4319271774
82	0.4317054909
83	0.4314169604
84	0.4312171937
85	0.4308550549
86	0.4305952721
87	0.4303576643
88	0.4301182379
89	0.4298348123
90	0.4296034583
91	0.4293915352
92	0.4291222762
93	0.4288876676
94	0.4285318782
95	0.4284272886
96	0.4281778755
97	0.4278766142
98	0.427717305
99	0.4274663284
100	0.4272053332
101	0.4269133248
102	0.4264659956
103	0.4261732534
104	0.4258051799
105	0.4255524803
106	0.4253623814
107	0.4252073795
108	0.4249552543
109	0.4247755888
110	0.424449249
111	0.4242257758
112	0.4241429465
113	0.4238521187
114	0.4235285229
115	0.4232879478
116	0.4230198693
117	0.4227615542
118	0.4225550553
119	0.422248019
120	0.4219967233
121	0.4216939625
122	0.4213907868
123	0.4211980715
124	0.42101429
125	0.4207640792
126	0.4206043871
127	0.4205099439
128	0.4202561595
129	0.4200720908
130	0.419954292
131	0.4196057772
132	0.419445128
133	0.4192311948
134	0.4190317472
135	0.4188749906
136	0.4187633178
137	0.4186217167
138	0.4184198442
139	0.4181401837
140	0.4179999227
141	0.4178675106
142	0.4175962734
143	0.4174139596
144	0.4171515605
145	0.4168541919
146	0.4166572649
147	0.4164176789
148	0.4162760778
149	0.4161094939
150	0.4158788099
151	0.4157264563
152	0.4155004944
153	0.4152008923
154	0.4150839231
155	0.4149189345
156	0.4147140947
157	0.4144447719
158	0.4142831973
159	0.4141780654
160	0.4140894929
161	0.4139130499
162	0.4138108534
163	0.4136677208
164	0.4135440511
165	0.4133193655
166	0.4131979293
167	0.4130414917
168	0.4128367158
169	0.4125460156
170	0.4123836433
171	0.4123034623
172	0.4121385695
173	0.4120472211
174	0.4118653859
175	0.4117064915
176	0.4115359831
177	0.4112783381
178	0.4111259207
179	0.411019321
180	0.4109003736
181	0.4108233832
182	0.4107644838
183	0.4105323639
184	0.4103521879
185	0.4101918258
186	0.4100201687
187	0.4098854276
188	0.4096508828
189	0.4093669787
190	0.4092932428
191	0.4090507214
192	0.4088258443
193	0.4087189575
194	0.4083415354
195	0.4080772857
196	0.4079919358
197	0.4078761152
198	0.4076364016
199	0.4074562575
200	0.4073057225
201	0.4071463814
202	0.4069676412
203	0.4067783718
204	0.4067370209
205	0.4066531068
206	0.4064848957
207	0.4062935205
208	0.4060859048
209	0.4059949394
210	0.4059155879
211	0.4057303706
212	0.4055087799
213	0.405407732
214	0.4052440835
215	0.4049978291
216	0.4047871185
217	0.4046824652
218	0.4046148234
219	0.4044873249
220	0.4043757798
221	0.4043057769
222	0.4041785657
223	0.4040708174
224	0.4039874138
225	0.4038745605
226	0.4037337251
227	0.403513315
228	0.4032666138
229	0.4030999981
230	0.403026645
231	0.402940657
232	0.4028024061
233	0.4027206297
234	0.4026255483
235	0.4025708605
236	0.4024432983
237	0.4023263929
238	0.4022745448
239	0.4021299126
240	0.4020015527
241	0.4018808185
242	0.4017457263
243	0.4016349469
244	0.4014898042
245	0.4013647945
246	0.4013092134
247	0.4012081974
248	0.4010812095
249	0.4009749289
250	0.4009330356
251	0.4007454254
252	0.4005753318
253	0.40044694
254	0.4003608881
255	0.4002649772
256	0.4001963463
257	0.4000587973
258	0.3999893688
259	0.3997922503
260	0.3996703994
261	0.3995564932
262	0.3994985509
263	0.399377051
264	0.3992317806
265	0.3990994005
266	0.3989368049
267	0.3988246536
268	0.3986945707
269	0.3986099866
270	0.3985097044
271	0.3983457369
272	0.3981905117
273	0.3980271185
274	0.3979212527
275	0.3978115581
276	0.3977175935
277	0.3976599065
278	0.3975491271
279	0.3974204481
280	0.3973117108
281	0.3971883921
282	0.3971241962
283	0.3969470832
284	0.3967570161
285	0.396599047
286	0.3964764622
287	0.3963446564
288	0.3962384077
289	0.3960974129
290	0.3960088085
291	0.3958924136
292	0.3958432775
293	0.3957628412
294	0.3955666481
295	0.3954614204
296	0.3953586496
297	0.3952592289
298	0.3951640518
299	0.3949737295
300	0.394889241
301	0.3947831838
302	0.3946577274
303	0.3945217419
304	0.3944008481
305	0.394236402
306	0.3940784647
307	0.3939897966
308	0.3939116894
309	0.3937523483
310	0.3936623401
311	0.3935450836
312	0.3934583298
313	0.3933231101
314	0.393199919
315	0.3930842579
316	0.392842279
317	0.3927135681
318	0.3925336473
319	0.3923976299
320	0.3923701903
321	0.3922520724
322	0.3920557197
323	0.3919141187
324	0.3917821852
325	0.3916653117
326	0.3915071192
327	0.3914124526
328	0.391308565
329	0.391237924
330	0.391043071
331	0.3909346208
