iter	Passed	Remaining
0	15	15596
1	20	10166
2	24	8142
3	28	7138
4	33	6631
5	37	6267
6	42	6021
7	46	5823
8	51	5677
9	56	5548
10	60	5469
11	65	5387
12	70	5331
13	74	5268
14	79	5196
15	83	5151
16	88	5108
17	93	5073
18	97	5045
19	102	5012
20	107	4996
21	111	4960
22	116	4936
23	120	4911
24	125	4893
25	132	4956
26	136	4927
27	141	4908
28	146	4891
29	150	4863
30	154	4844
31	159	4822
32	163	4802
33	168	4784
34	172	4755
35	176	4736
36	181	4723
37	187	4740
38	191	4718
39	195	4700
40	200	4685
41	204	4669
42	209	4657
43	213	4640
44	217	4623
45	221	4603
46	226	4592
47	230	4581
48	235	4563
49	239	4548
50	243	4539
51	248	4528
52	252	4516
53	257	4504
54	261	4489
55	265	4480
56	269	4466
57	274	4453
58	278	4445
59	282	4433
60	287	4425
61	291	4414
62	296	4404
63	300	4394
64	305	4389
65	309	4384
66	313	4369
67	318	4359
68	322	4352
69	327	4345
70	331	4337
71	335	4327
72	340	4322
73	344	4311
74	348	4303
75	353	4296
76	357	4287
77	361	4277
78	366	4270
79	370	4263
80	375	4255
81	379	4245
82	383	4236
83	387	4227
84	391	4216
85	396	4212
86	400	4204
87	404	4192
88	408	4184
89	413	4178
90	417	4171
91	421	4162
92	425	4152
93	430	4145
94	434	4142
95	439	4134
96	443	4128
97	448	4124
98	452	4117
99	456	4111
100	461	4105
101	466	4103
102	470	4095
103	474	4090
104	479	4085
105	483	4081
106	488	4075
107	493	4076
108	500	4093
109	508	4110
110	515	4128
111	520	4129
112	527	4144
113	533	4147
114	540	4158
115	545	4158
116	551	4160
117	558	4171
118	563	4173
119	570	4182
120	577	4193
121	583	4200
122	590	4211
123	596	4212
124	603	4222
125	608	4224
126	615	4232
127	621	4233
128	628	4241
129	635	4250
130	640	4249
131	647	4255
132	653	4259
133	660	4266
134	665	4266
135	672	4273
136	678	4273
137	684	4277
138	690	4278
139	697	4286
140	703	4286
141	709	4288
142	717	4297
143	723	4298
144	730	4308
145	736	4308
146	743	4313
147	749	4314
148	756	4317
149	763	4324
150	772	4342
151	778	4341
152	785	4347
153	792	4354
154	798	4352
155	805	4356
156	812	4361
157	820	4372
158	824	4363
159	829	4353
160	833	4342
161	837	4331
162	841	4321
163	845	4311
164	849	4301
165	854	4293
166	858	4284
167	863	4275
168	867	4266
169	872	4259
170	876	4250
171	881	4243
172	886	4235
173	890	4227
174	894	4218
175	900	4215
176	904	4206
177	911	4208
178	917	4208
179	924	4210
180	929	4205
181	936	4207
182	942	4208
183	949	4211
184	955	4208
185	961	4209
186	967	4207
187	974	4210
188	981	4210
189	987	4210
190	992	4205
191	997	4198
192	1002	4189
193	1008	4187
194	1015	4190
195	1021	4189
196	1027	4189
197	1033	4187
198	1040	4188
199	1047	4191
200	1053	4188
201	1060	4189
202	1066	4187
203	1074	4190
204	1082	4197
205	1089	4197
206	1094	4194
207	1101	4194
208	1107	4193
209	1115	4194
210	1120	4190
211	1127	4192
212	1135	4193
213	1140	4188
214	1147	4189
215	1153	4186
216	1160	4185
217	1165	4181
218	1172	4181
219	1179	4181
220	1185	4178
221	1192	4179
222	1198	4176
223	1204	4172
224	1210	4167
225	1216	4165
226	1222	4162
227	1228	4160
228	1234	4157
229	1241	4156
230	1247	4151
231	1253	4149
232	1259	4146
233	1265	4142
234	1270	4135
235	1274	4125
236	1278	4116
237	1282	4107
238	1287	4098
239	1291	4091
240	1296	4084
241	1303	4082
242	1309	4080
243	1314	4073
244	1318	4064
245	1323	4055
246	1327	4047
247	1331	4038
248	1336	4029
249	1340	4021
250	1345	4014
251	1349	4007
252	1354	3999
253	1358	3991
254	1363	3983
255	1367	3974
256	1372	3966
257	1376	3959
258	1380	3950
259	1385	3942
260	1389	3935
261	1393	3926
262	1398	3917
263	1402	3909
264	1406	3901
265	1410	3893
266	1415	3886
267	1420	3879
268	1424	3871
269	1428	3863
270	1433	3855
271	1437	3847
272	1441	3839
273	1446	3832
274	1450	3824
275	1455	3816
276	1459	3808
277	1463	3800
278	1467	3792
279	1472	3785
280	1476	3777
281	1480	3770
282	1485	3763
283	1489	3755
284	1494	3748
285	1498	3741
286	1503	3734
287	1507	3726
288	1511	3718
289	1515	3711
290	1520	3703
291	1524	3695
292	1528	3687
293	1532	3681
294	1537	3673
295	1541	3666
296	1546	3659
297	1549	3651
298	1554	3643
299	1558	3636
300	1562	3629
301	1567	3622
302	1571	3614
303	1576	3608
304	1580	3600
305	1584	3593
306	1588	3586
307	1593	3579
308	1597	3572
309	1601	3564
310	1605	3557
311	1610	3550
312	1614	3543
313	1619	3537
314	1626	3536
315	1632	3532
316	1639	3531
317	1645	3527
318	1651	3526
319	1657	3522
320	1664	3520
321	1669	3516
322	1676	3514
323	1683	3511
324	1689	3508
325	1696	3507
326	1702	3503
327	1708	3501
328	1716	3500
329	1721	3495
330	1728	3494
331	1734	3489
332	1740	3486
333	1747	3485
334	1754	3482
335	1761	3480
336	1767	3477
