                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3635,                  0.125,                  0.725,                 2.2881,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 2.1471,                   0.25,                  0.975,                 2.2578,             0.00013118,             0.00013118,             0.00013118
                      3,                 1.8983,                    0.7,                      1,                 2.1973,             0.00019339,             0.00019339,             0.00019339
                      4,                  1.595,                    0.8,                      1,                 2.1035,             0.00025089,             0.00025089,             0.00025089
                      5,                 1.2464,                  0.875,                      1,                 1.9863,             0.00030368,             0.00030368,             0.00030368
                      6,                0.87608,                  0.925,                      1,                 1.8057,             0.00035175,             0.00035175,             0.00035175
                      7,                0.63688,                  0.925,                      1,                 1.7153,             0.00039511,             0.00039511,             0.00039511
                      8,                0.43939,                   0.95,                      1,                 1.6401,             0.00043376,             0.00043376,             0.00043376
                      9,                0.34507,                   0.95,                      1,                 1.6123,              0.0004677,              0.0004677,              0.0004677
                     10,                0.29695,                    0.9,                      1,                 1.6118,             0.00049692,             0.00049692,             0.00049692
                     11,                0.26724,                  0.925,                      1,                 1.5483,             0.00047838,             0.00047838,             0.00047838
                     12,                0.16868,                   0.95,                      1,                 1.5132,             0.00047838,             0.00047838,             0.00047838
                     13,                0.13234,                   0.95,                      1,                 1.5264,             0.00045482,             0.00045482,             0.00045482
                     14,                0.13002,                    0.9,                      1,                 1.5078,             0.00043126,             0.00043126,             0.00043126
                     15,                0.10104,                  0.925,                      1,                 1.5347,             0.00040769,             0.00040769,             0.00040769
                     16,                 0.0797,                      1,                      1,                 1.5151,             0.00038413,             0.00038413,             0.00038413
                     17,                0.10063,                      1,                      1,                 1.4746,             0.00036057,             0.00036057,             0.00036057
                     18,                0.07302,                      1,                      1,                 1.4712,             0.00033701,             0.00033701,             0.00033701
                     19,                0.07666,                      1,                      1,                 1.4795,             0.00031345,             0.00031345,             0.00031345
                     20,                0.10872,                   0.95,                      1,                 1.5273,             0.00028988,             0.00028988,             0.00028988
                     21,                0.06018,                   0.95,                      1,                  1.501,             0.00026632,             0.00026632,             0.00026632
                     22,                 0.0767,                  0.975,                      1,                  1.479,             0.00024276,             0.00024276,             0.00024276
                     23,                0.04607,                      1,                      1,                 1.4741,              0.0002192,              0.0002192,              0.0002192
                     24,                0.07025,                      1,                      1,                 1.4712,             0.00019564,             0.00019564,             0.00019564
                     25,                0.05973,                      1,                      1,                 1.4731,             0.00017207,             0.00017207,             0.00017207
                     26,                0.05586,                      1,                      1,                 1.4707,             0.00014851,             0.00014851,             0.00014851
                     27,                0.06161,                      1,                      1,                 1.4692,             0.00012495,             0.00012495,             0.00012495
                     28,                0.07257,                      1,                      1,                 1.4692,             0.00010139,             0.00010139,             0.00010139
                     29,                0.10069,                      1,                      1,                 1.4707,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.08315,                      1,                      1,                 1.4751,             5.4264e-05,             5.4264e-05,             5.4264e-05
